SampleID	old_name	Well	Plate	composition	replicate	Media	contains_Psim	type	adjustment	timepoint
200.everyone.noPsim.day0.4	200_everyone_noPsim.day0.4	D6	1	200_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day0
2000.everyone.day0.1	2000_everyone.day0.1	E6	1	2000_everyone	1	0.1x_R2A	yes	equal	equal	day0
2000.everyone.day0.2	2000_everyone.day0.2	F6	1	2000_everyone	2	0.1x_R2A	yes	equal	equal	day0
2000.everyone.day0.3	2000_everyone.day0.3	G6	1	2000_everyone	3	0.1x_R2A	yes	equal	equal	day0
2000.everyone.day0.4	2000_everyone.day0.4	H6	1	2000_everyone	4	0.1x_R2A	yes	equal	equal	day0
2000.everyone.noPsim.day0.1	2000_everyone_noPsim.day0.1	A7	1	2000_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day0
2000.everyone.noPsim.day0.2	2000_everyone_noPsim.day0.2	B7	1	2000_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day0
2000.everyone.noPsim.day0.3	2000_everyone_noPsim.day0.3	C7	1	2000_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day0
2000.everyone.noPsim.day0.4	2000_everyone_noPsim.day0.4	D7	1	2000_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day0
log.correction.day0.1	log_correction.day0.1	E7	1	log_correction	1	0.1x_R2A	yes	adjutsed	log	day0
log.correction.day0.2	log_correction.day0.2	F7	1	log_correction	2	0.1x_R2A	yes	adjutsed	log	day0
log.correction.day0.3	log_correction.day0.3	G7	1	log_correction	3	0.1x_R2A	yes	adjutsed	log	day0
log.correction.day0.4	log_correction.day0.4	H7	1	log_correction	4	0.1x_R2A	yes	adjutsed	log	day0
log.correction.noPsim.day0.1	log_correction_noPsim.day0.1	A8	1	log_correction_noPsim	1	0.1x_R2A	no	adjutsed	log	day0
log.correction.noPsim.day0.2	log_correction_noPsim.day0.2	B8	1	log_correction_noPsim	2	0.1x_R2A	no	adjutsed	log	day0
log.correction.noPsim.day0.3	log_correction_noPsim.day0.3	C8	1	log_correction_noPsim	3	0.1x_R2A	no	adjutsed	log	day0
log.correction.noPsim.day0.4	log_correction_noPsim.day0.4	D8	1	log_correction_noPsim	4	0.1x_R2A	no	adjutsed	log	day0
linear.correction.day0.1	linear_correction.day0.1	E8	1	linear_correction	1	0.1x_R2A	yes	adjutsed	linear	day0
linear.correction.day0.2	linear_correction.day0.2	F8	1	linear_correction	2	0.1x_R2A	yes	adjutsed	linear	day0
linear.correction.day0.3	linear_correction.day0.3	G8	1	linear_correction	3	0.1x_R2A	yes	adjutsed	linear	day0
linear.correction.day0.4	linear_correction.day0.4	H8	1	linear_correction	4	0.1x_R2A	yes	adjutsed	linear	day0
linear.correction.noPsim.day0.1	linear_correction_noPsim.day0.1	A9	1	linear_correction_noPsim	1	0.1x_R2A	no	adjutsed	linear	day0
linear.correction.noPsim.day0.2	linear_correction_noPsim.day0.2	B9	1	linear_correction_noPsim	2	0.1x_R2A	no	adjutsed	linear	day0
linear.correction.noPsim.day0.3	linear_correction_noPsim.day0.3	C9	1	linear_correction_noPsim	3	0.1x_R2A	no	adjutsed	linear	day0
linear.correction.noPsim.day0.4	linear_correction_noPsim.day0.4	D9	1	linear_correction_noPsim	4	0.1x_R2A	no	adjutsed	linear	day0
rel.abu.linear.day0.1	rel_abu_linear.day0.1	E9	1	rel_abu_linear	1	0.1x_R2A	yes	adjutsed	linear	day0
rel.abu.linear.day0.2	rel_abu_linear.day0.2	F9	1	rel_abu_linear	2	0.1x_R2A	yes	adjutsed	linear	day0
rel.abu.linear.day0.3	rel_abu_linear.day0.3	G9	1	rel_abu_linear	3	0.1x_R2A	yes	adjutsed	linear	day0
rel.abu.linear.day0.4	rel_abu_linear.day0.4	H9	1	rel_abu_linear	4	0.1x_R2A	yes	adjutsed	linear	day0
rel.abu.noPsim.linear.day0.1	rel_abu_noPsim_linear.day0.1	A10	1	rel_abu_noPsim_linear	1	0.1x_R2A	no	adjutsed	linear	day0
rel.abu.noPsim.linear.day0.2	rel_abu_noPsim_linear.day0.2	B10	1	rel_abu_noPsim_linear	2	0.1x_R2A	no	adjutsed	linear	day0
rel.abu.noPsim.linear.day0.3	rel_abu_noPsim_linear.day0.3	C10	1	rel_abu_noPsim_linear	3	0.1x_R2A	no	adjutsed	linear	day0
rel.abu.noPsim.linear.day0.4	rel_abu_noPsim_linear.day0.4	D10	1	rel_abu_noPsim_linear	4	0.1x_R2A	no	adjutsed	linear	day0
rel.abu.exp.day0.1	rel_abu_exp.day0.1	E10	1	rel_abu_exp	1	0.1x_R2A	yes	adjutsed	log	day0
rel.abu.exp.day0.2	rel_abu_exp.day0.2	F10	1	rel_abu_exp	2	0.1x_R2A	yes	adjutsed	log	day0
rel.abu.exp.day0.3	rel_abu_exp.day0.3	G10	1	rel_abu_exp	3	0.1x_R2A	yes	adjutsed	log	day0
rel.abu.exp.day0.4	rel_abu_exp.day0.4	H10	1	rel_abu_exp	4	0.1x_R2A	yes	adjutsed	log	day0
rel.abu.noPsim.exp.noPsim.day0.1	rel_abu_noPsim_exp_noPsim.day0.1	A11	1	rel_abu_noPsim_exp_noPsim	1	0.1x_R2A	no	adjutsed	log	day0
rel.abu.noPsim.exp.noPsim.day0.2	rel_abu_noPsim_exp_noPsim.day0.2	B11	1	rel_abu_noPsim_exp_noPsim	2	0.1x_R2A	no	adjutsed	log	day0
rel.abu.noPsim.exp.noPsim.day0.3	rel_abu_noPsim_exp_noPsim.day0.3	C11	1	rel_abu_noPsim_exp_noPsim	3	0.1x_R2A	no	adjutsed	log	day0
rel.abu.noPsim.exp.noPsim.day0.4	rel_abu_noPsim_exp_noPsim.day0.4	D11	1	rel_abu_noPsim_exp_noPsim	4	0.1x_R2A	no	adjutsed	log	day0
weighted.abu.day0.1	weighted_abu.day0.1	E11	1	weighted_abu	1	0.1x_R2A	yes	adjutsed	linear	day0
weighted.abu.day0.2	weighted_abu.day0.2	F11	1	weighted_abu	2	0.1x_R2A	yes	adjutsed	linear	day0
weighted.abu.day0.3	weighted_abu.day0.3	G11	1	weighted_abu	3	0.1x_R2A	yes	adjutsed	linear	day0
weighted.abu.day0.4	weighted_abu.day0.4	H11	1	weighted_abu	4	0.1x_R2A	yes	adjutsed	linear	day0
weighted.abu.noPsim.day0.1	weighted_abu_noPsim.day0.1	A12	1	weighted_abu_noPsim	1	0.1x_R2A	no	adjutsed	linear	day0
weighted.abu.noPsim.day0.2	weighted_abu_noPsim.day0.2	B12	1	weighted_abu_noPsim	2	0.1x_R2A	no	adjutsed	linear	day0
weighted.abu.noPsim.day0.3	weighted_abu_noPsim.day0.3	C12	1	weighted_abu_noPsim	3	0.1x_R2A	no	adjutsed	linear	day0
weighted.abu.noPsim.day0.4	weighted_abu_noPsim.day0.4	D12	1	weighted_abu_noPsim	4	0.1x_R2A	no	adjutsed	linear	day0
2x.cutoff.day2.1	2x_cutoff.day2.1	E1	2	2x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day2
2x.cutoff.day2.2	2x_cutoff.day2.2	F1	2	2x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day2
2x.cutoff.day2.3	2x_cutoff.day2.3	G1	2	2x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day2
2x.cutoff.day2.4	2x_cutoff.day2.4	H1	2	2x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day2
2x.cutoff.noPsim.day2.1	2x_cutoff_noPsim.day2.1	A2	2	2x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day2
2x.cutoff.noPsim.day2.2	2x_cutoff_noPsim.day2.2	B2	2	2x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day2
2x.cutoff.noPsim.day2.3	2x_cutoff_noPsim.day2.3	C2	2	2x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day2
2x.cutoff.noPsim.day2.4	2x_cutoff_noPsim.day2.4	D2	2	2x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day2
3x.cutoff.day2.1	3x_cutoff.day2.1	E2	2	3x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day2
3x.cutoff.day2.2	3x_cutoff.day2.2	F2	2	3x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day2
3x.cutoff.day2.3	3x_cutoff.day2.3	G2	2	3x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day2
3x.cutoff.day2.4	3x_cutoff.day2.4	H2	2	3x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day2
3x.cutoff.noPsim.day2.1	3x_cutoff_noPsim.day2.1	A3	2	3x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day2
3x.cutoff.noPsim.day2.2	3x_cutoff_noPsim.day2.2	B3	2	3x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day2
3x.cutoff.noPsim.day2.3	3x_cutoff_noPsim.day2.3	C3	2	3x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day2
3x.cutoff.noPsim.day2.4	3x_cutoff_noPsim.day2.4	D3	2	3x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day2
2.everyone.day2.1	2_everyone.day2.1	E3	2	2_everyone	1	0.1x_R2A	yes	equal	equal	day2
2.everyone.day2.2	2_everyone.day2.2	F3	2	2_everyone	2	0.1x_R2A	yes	equal	equal	day2
2.everyone.day2.3	2_everyone.day2.3	G3	2	2_everyone	3	0.1x_R2A	yes	equal	equal	day2
2.everyone.day2.4	2_everyone.day2.4	H3	2	2_everyone	4	0.1x_R2A	yes	equal	equal	day2
2.everyone.noPsim.day2.1	2_everyone_noPsim.day2.1	A4	2	2_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day2
2.everyone.noPsim.day2.2	2_everyone_noPsim.day2.2	B4	2	2_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day2
2.everyone.noPsim.day2.3	2_everyone_noPsim.day2.3	C4	2	2_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day2
2.everyone.noPsim.day2.4	2_everyone_noPsim.day2.4	D4	2	2_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day2
20.everyone.day2.1	20_everyone.day2.1	E4	2	20_everyone	1	0.1x_R2A	yes	equal	equal	day2
20.everyone.day2.2	20_everyone.day2.2	F4	2	20_everyone	2	0.1x_R2A	yes	equal	equal	day2
20.everyone.day2.3	20_everyone.day2.3	G4	2	20_everyone	3	0.1x_R2A	yes	equal	equal	day2
20.everyone.day2.4	20_everyone.day2.4	H4	2	20_everyone	4	0.1x_R2A	yes	equal	equal	day2
20.everyone.noPsim.day2.1	20_everyone_noPsim.day2.1	A5	2	20_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day2
20.everyone.noPsim.day2.2	20_everyone_noPsim.day2.2	B5	2	20_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day2
20.everyone.noPsim.day2.3	20_everyone_noPsim.day2.3	C5	2	20_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day2
20.everyone.noPsim.day2.4	20_everyone_noPsim.day2.4	D5	2	20_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day2
200.everyone.day2.1	200_everyone.day2.1	E5	2	200_everyone	1	0.1x_R2A	yes	equal	equal	day2
200.everyone.day2.2	200_everyone.day2.2	F5	2	200_everyone	2	0.1x_R2A	yes	equal	equal	day2
200.everyone.day2.3	200_everyone.day2.3	G5	2	200_everyone	3	0.1x_R2A	yes	equal	equal	day2
200.everyone.day2.4	200_everyone.day2.4	H5	2	200_everyone	4	0.1x_R2A	yes	equal	equal	day2
200.everyone.noPsim.day2.1	200_everyone_noPsim.day2.1	A6	2	200_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day2
200.everyone.noPsim.day2.2	200_everyone_noPsim.day2.2	B6	2	200_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day2
200.everyone.noPsim.day2.3	200_everyone_noPsim.day2.3	C6	2	200_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day2
200.everyone.noPsim.day2.4	200_everyone_noPsim.day2.4	D6	2	200_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day2
2000.everyone.day2.1	2000_everyone.day2.1	E6	2	2000_everyone	1	0.1x_R2A	yes	equal	equal	day2
2000.everyone.day2.2	2000_everyone.day2.2	F6	2	2000_everyone	2	0.1x_R2A	yes	equal	equal	day2
2000.everyone.day2.3	2000_everyone.day2.3	G6	2	2000_everyone	3	0.1x_R2A	yes	equal	equal	day2
2000.everyone.day2.4	2000_everyone.day2.4	H6	2	2000_everyone	4	0.1x_R2A	yes	equal	equal	day2
2000.everyone.noPsim.day2.1	2000_everyone_noPsim.day2.1	A7	2	2000_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day2
2000.everyone.noPsim.day2.2	2000_everyone_noPsim.day2.2	B7	2	2000_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day2
2000.everyone.noPsim.day2.3	2000_everyone_noPsim.day2.3	C7	2	2000_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day2
2000.everyone.noPsim.day2.4	2000_everyone_noPsim.day2.4	D7	2	2000_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day2
log.correction.day2.1	log_correction.day2.1	E7	2	log_correction	1	0.1x_R2A	yes	adjutsed	log	day2
log.correction.day2.2	log_correction.day2.2	F7	2	log_correction	2	0.1x_R2A	yes	adjutsed	log	day2
log.correction.day2.3	log_correction.day2.3	G7	2	log_correction	3	0.1x_R2A	yes	adjutsed	log	day2
log.correction.day2.4	log_correction.day2.4	H7	2	log_correction	4	0.1x_R2A	yes	adjutsed	log	day2
log.correction.noPsim.day2.1	log_correction_noPsim.day2.1	A8	2	log_correction_noPsim	1	0.1x_R2A	no	adjutsed	log	day2
log.correction.noPsim.day2.2	log_correction_noPsim.day2.2	B8	2	log_correction_noPsim	2	0.1x_R2A	no	adjutsed	log	day2
log.correction.noPsim.day2.3	log_correction_noPsim.day2.3	C8	2	log_correction_noPsim	3	0.1x_R2A	no	adjutsed	log	day2
log.correction.noPsim.day2.4	log_correction_noPsim.day2.4	D8	2	log_correction_noPsim	4	0.1x_R2A	no	adjutsed	log	day2
linear.correction.day2.1	linear_correction.day2.1	E8	2	linear_correction	1	0.1x_R2A	yes	adjutsed	linear	day2
linear.correction.day2.2	linear_correction.day2.2	F8	2	linear_correction	2	0.1x_R2A	yes	adjutsed	linear	day2
linear.correction.day2.3	linear_correction.day2.3	G8	2	linear_correction	3	0.1x_R2A	yes	adjutsed	linear	day2
linear.correction.day2.4	linear_correction.day2.4	H8	2	linear_correction	4	0.1x_R2A	yes	adjutsed	linear	day2
linear.correction.noPsim.day2.1	linear_correction_noPsim.day2.1	A9	2	linear_correction_noPsim	1	0.1x_R2A	no	adjutsed	linear	day2
linear.correction.noPsim.day2.2	linear_correction_noPsim.day2.2	B9	2	linear_correction_noPsim	2	0.1x_R2A	no	adjutsed	linear	day2
linear.correction.noPsim.day2.3	linear_correction_noPsim.day2.3	C9	2	linear_correction_noPsim	3	0.1x_R2A	no	adjutsed	linear	day2
linear.correction.noPsim.day2.4	linear_correction_noPsim.day2.4	D9	2	linear_correction_noPsim	4	0.1x_R2A	no	adjutsed	linear	day2
rel.abu.linear.day2.1	rel_abu_linear.day2.1	E9	2	rel_abu_linear	1	0.1x_R2A	yes	adjutsed	linear	day2
rel.abu.linear.day2.2	rel_abu_linear.day2.2	F9	2	rel_abu_linear	2	0.1x_R2A	yes	adjutsed	linear	day2
rel.abu.linear.day2.3	rel_abu_linear.day2.3	G9	2	rel_abu_linear	3	0.1x_R2A	yes	adjutsed	linear	day2
rel.abu.linear.day2.4	rel_abu_linear.day2.4	H9	2	rel_abu_linear	4	0.1x_R2A	yes	adjutsed	linear	day2
rel.abu.noPsim.linear.day2.1	rel_abu_noPsim_linear.day2.1	A10	2	rel_abu_noPsim_linear	1	0.1x_R2A	no	adjutsed	linear	day2
rel.abu.noPsim.linear.day2.2	rel_abu_noPsim_linear.day2.2	B10	2	rel_abu_noPsim_linear	2	0.1x_R2A	no	adjutsed	linear	day2
rel.abu.noPsim.linear.day2.3	rel_abu_noPsim_linear.day2.3	C10	2	rel_abu_noPsim_linear	3	0.1x_R2A	no	adjutsed	linear	day2
rel.abu.noPsim.linear.day2.4	rel_abu_noPsim_linear.day2.4	D10	2	rel_abu_noPsim_linear	4	0.1x_R2A	no	adjutsed	linear	day2
rel.abu.exp.day2.1	rel_abu_exp.day2.1	E10	2	rel_abu_exp	1	0.1x_R2A	yes	adjutsed	log	day2
rel.abu.exp.day2.2	rel_abu_exp.day2.2	F10	2	rel_abu_exp	2	0.1x_R2A	yes	adjutsed	log	day2
rel.abu.exp.day2.3	rel_abu_exp.day2.3	G10	2	rel_abu_exp	3	0.1x_R2A	yes	adjutsed	log	day2
rel.abu.exp.day2.4	rel_abu_exp.day2.4	H10	2	rel_abu_exp	4	0.1x_R2A	yes	adjutsed	log	day2
rel.abu.noPsim.exp.noPsim.day2.1	rel_abu_noPsim_exp_noPsim.day2.1	A11	2	rel_abu_noPsim_exp_noPsim	1	0.1x_R2A	no	adjutsed	log	day2
rel.abu.noPsim.exp.noPsim.day2.2	rel_abu_noPsim_exp_noPsim.day2.2	B11	2	rel_abu_noPsim_exp_noPsim	2	0.1x_R2A	no	adjutsed	log	day2
rel.abu.noPsim.exp.noPsim.day2.3	rel_abu_noPsim_exp_noPsim.day2.3	C11	2	rel_abu_noPsim_exp_noPsim	3	0.1x_R2A	no	adjutsed	log	day2
rel.abu.noPsim.exp.noPsim.day2.4	rel_abu_noPsim_exp_noPsim.day2.4	D11	2	rel_abu_noPsim_exp_noPsim	4	0.1x_R2A	no	adjutsed	log	day2
weighted.abu.day2.1	weighted_abu.day2.1	E11	2	weighted_abu	1	0.1x_R2A	yes	adjutsed	linear	day2
weighted.abu.day2.2	weighted_abu.day2.2	F11	2	weighted_abu	2	0.1x_R2A	yes	adjutsed	linear	day2
weighted.abu.day2.3	weighted_abu.day2.3	G11	2	weighted_abu	3	0.1x_R2A	yes	adjutsed	linear	day2
weighted.abu.day2.4	weighted_abu.day2.4	H11	2	weighted_abu	4	0.1x_R2A	yes	adjutsed	linear	day2
weighted.abu.noPsim.day2.1	weighted_abu_noPsim.day2.1	A12	2	weighted_abu_noPsim	1	0.1x_R2A	no	adjutsed	linear	day2
weighted.abu.noPsim.day2.2	weighted_abu_noPsim.day2.2	B12	2	weighted_abu_noPsim	2	0.1x_R2A	no	adjutsed	linear	day2
weighted.abu.noPsim.day2.3	weighted_abu_noPsim.day2.3	C12	2	weighted_abu_noPsim	3	0.1x_R2A	no	adjutsed	linear	day2
weighted.abu.noPsim.day2.4	weighted_abu_noPsim.day2.4	D12	2	weighted_abu_noPsim	4	0.1x_R2A	no	adjutsed	linear	day2
2x.cutoff.day6.1	2x_cutoff.day6.1	E1	3	2x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day6
2x.cutoff.day6.2	2x_cutoff.day6.2	F1	3	2x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day6
2x.cutoff.day6.3	2x_cutoff.day6.3	G1	3	2x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day6
2x.cutoff.day6.4	2x_cutoff.day6.4	H1	3	2x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day6
2x.cutoff.noPsim.day6.1	2x_cutoff_noPsim.day6.1	A2	3	2x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day6
2x.cutoff.noPsim.day6.2	2x_cutoff_noPsim.day6.2	B2	3	2x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day6
2x.cutoff.noPsim.day6.3	2x_cutoff_noPsim.day6.3	C2	3	2x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day6
2x.cutoff.noPsim.day6.4	2x_cutoff_noPsim.day6.4	D2	3	2x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day6
3x.cutoff.day6.1	3x_cutoff.day6.1	E2	3	3x_cutoff	1	0.1x_R2A	yes	adjutsed	cutoff	day6
3x.cutoff.day6.2	3x_cutoff.day6.2	F2	3	3x_cutoff	2	0.1x_R2A	yes	adjutsed	cutoff	day6
3x.cutoff.day6.3	3x_cutoff.day6.3	G2	3	3x_cutoff	3	0.1x_R2A	yes	adjutsed	cutoff	day6
3x.cutoff.day6.4	3x_cutoff.day6.4	H2	3	3x_cutoff	4	0.1x_R2A	yes	adjutsed	cutoff	day6
3x.cutoff.noPsim.day6.1	3x_cutoff_noPsim.day6.1	A3	3	3x_cutoff_noPsim	1	0.1x_R2A	no	adjutsed	cutoff	day6
3x.cutoff.noPsim.day6.2	3x_cutoff_noPsim.day6.2	B3	3	3x_cutoff_noPsim	2	0.1x_R2A	no	adjutsed	cutoff	day6
3x.cutoff.noPsim.day6.3	3x_cutoff_noPsim.day6.3	C3	3	3x_cutoff_noPsim	3	0.1x_R2A	no	adjutsed	cutoff	day6
3x.cutoff.noPsim.day6.4	3x_cutoff_noPsim.day6.4	D3	3	3x_cutoff_noPsim	4	0.1x_R2A	no	adjutsed	cutoff	day6
2.everyone.day6.1	2_everyone.day6.1	E3	3	2_everyone	1	0.1x_R2A	yes	equal	equal	day6
2.everyone.day6.2	2_everyone.day6.2	F3	3	2_everyone	2	0.1x_R2A	yes	equal	equal	day6
2.everyone.day6.3	2_everyone.day6.3	G3	3	2_everyone	3	0.1x_R2A	yes	equal	equal	day6
2.everyone.day6.4	2_everyone.day6.4	H3	3	2_everyone	4	0.1x_R2A	yes	equal	equal	day6
2.everyone.noPsim.day6.1	2_everyone_noPsim.day6.1	A4	3	2_everyone_noPsim	1	0.1x_R2A	no	equal	equal	day6
2.everyone.noPsim.day6.2	2_everyone_noPsim.day6.2	B4	3	2_everyone_noPsim	2	0.1x_R2A	no	equal	equal	day6
2.everyone.noPsim.day6.3	2_everyone_noPsim.day6.3	C4	3	2_everyone_noPsim	3	0.1x_R2A	no	equal	equal	day6
2.everyone.noPsim.day6.4	2_everyone_noPsim.day6.4	D4	3	2_everyone_noPsim	4	0.1x_R2A	no	equal	equal	day6
20.everyone.day6.1	20_everyone.day6.1	E4	3	20_everyone	1	0.1x_R2A	yes	equal	equal	day6
