SampleID	original_sample_name	plate_label	timepoint	time_hours	Well	composition	type	adjustment	PMA-tx	PMA_time
rel.abu.noPsim.exp.noPsim.4.t1	rel_abu_noPsim_exp_noPsim_4_t1	<24hrs	t1	16	D4	rel_abu_noPsim_exp_noPsim_4	rel_abu_exp	rel_abu	NO	t1_NO
rel.abu.noPsim.exp.noPsim.5.t1	rel_abu_noPsim_exp_noPsim_5_t1	<24hrs	t1	16	E4	rel_abu_noPsim_exp_noPsim_5	rel_abu_exp	rel_abu	NO	t1_NO
rel.abu.noPsim.exp.noPsim.6.t1	rel_abu_noPsim_exp_noPsim_6_t1	<24hrs	t1	16	F4	rel_abu_noPsim_exp_noPsim_6	rel_abu_exp	rel_abu	NO	t1_NO
rel.abu.noPsim.exp.noPsim.7.t1	rel_abu_noPsim_exp_noPsim_7_t1	<24hrs	t1	16	G4	rel_abu_noPsim_exp_noPsim_7	rel_abu_exp	rel_abu	NO	t1_NO
rel.abu.noPsim.exp.noPsim.8.t1	rel_abu_noPsim_exp_noPsim_8_t1	<24hrs	t1	16	H4	rel_abu_noPsim_exp_noPsim_8	rel_abu_exp	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.1.t1	rel_abu_noPsim_linear_1_t1	<24hrs	t1	16	A5	rel_abu_noPsim_linear_1	rel_abu_linear	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.2.t1	rel_abu_noPsim_linear_2_t1	<24hrs	t1	16	B5	rel_abu_noPsim_linear_2	rel_abu_linear	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.3.t1	rel_abu_noPsim_linear_3_t1	<24hrs	t1	16	C5	rel_abu_noPsim_linear_3	rel_abu_linear	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.4.t1	rel_abu_noPsim_linear_4_t1	<24hrs	t1	16	D5	rel_abu_noPsim_linear_4	rel_abu_linear	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.5.t1	rel_abu_noPsim_linear_5_t1	<24hrs	t1	16	E5	rel_abu_noPsim_linear_5	rel_abu_linear	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.6.t1	rel_abu_noPsim_linear_6_t1	<24hrs	t1	16	F5	rel_abu_noPsim_linear_6	rel_abu_linear	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.7.t1	rel_abu_noPsim_linear_7_t1	<24hrs	t1	16	G5	rel_abu_noPsim_linear_7	rel_abu_linear	rel_abu	NO	t1_NO
rel.abu.noPsim.linear.8.t1	rel_abu_noPsim_linear_8_t1	<24hrs	t1	16	H5	rel_abu_noPsim_linear_8	rel_abu_linear	rel_abu	NO	t1_NO
X2000.everyone.noPsim.1.t1	2000_everyone_noPsim_1_t1	<24hrs	t1	16	A6	2000_everyone_noPsim_1	equal	equal	NO	t1_NO
X2000.everyone.noPsim.2.t1	2000_everyone_noPsim_2_t1	<24hrs	t1	16	B6	2000_everyone_noPsim_2	equal	equal	NO	t1_NO
X2000.everyone.noPsim.3.t1	2000_everyone_noPsim_3_t1	<24hrs	t1	16	C6	2000_everyone_noPsim_3	equal	equal	NO	t1_NO
X2000.everyone.noPsim.4.t1	2000_everyone_noPsim_4_t1	<24hrs	t1	16	D6	2000_everyone_noPsim_4	equal	equal	NO	t1_NO
X2000.everyone.noPsim.5.t1	2000_everyone_noPsim_5_t1	<24hrs	t1	16	E6	2000_everyone_noPsim_5	equal	equal	NO	t1_NO
X2000.everyone.noPsim.6.t1	2000_everyone_noPsim_6_t1	<24hrs	t1	16	F6	2000_everyone_noPsim_6	equal	equal	NO	t1_NO
X2000.everyone.noPsim.7.t1	2000_everyone_noPsim_7_t1	<24hrs	t1	16	G6	2000_everyone_noPsim_7	equal	equal	NO	t1_NO
X2000.everyone.noPsim.8.t1	2000_everyone_noPsim_8_t1	<24hrs	t1	16	H6	2000_everyone_noPsim_8	equal	equal	NO	t1_NO
X3x.cutoff.noPsim.9.t1	3x_cutoff_noPsim_9_t1	<24hrs	t1	16	A7	3x_cutoff_noPsim_9	3x_cutoff	cutoff	YES	t1_YES
X3x.cutoff.noPsim.10.t1	3x_cutoff_noPsim_10_t1	<24hrs	t1	16	B7	3x_cutoff_noPsim_10	3x_cutoff	cutoff	YES	t1_YES
X3x.cutoff.noPsim.11.t1	3x_cutoff_noPsim_11_t1	<24hrs	t1	16	C7	3x_cutoff_noPsim_11	3x_cutoff	cutoff	YES	t1_YES
X3x.cutoff.noPsim.12.t1	3x_cutoff_noPsim_12_t1	<24hrs	t1	16	D7	3x_cutoff_noPsim_12	3x_cutoff	cutoff	YES	t1_YES
X3x.cutoff.noPsim.13.t1	3x_cutoff_noPsim_13_t1	<24hrs	t1	16	E7	3x_cutoff_noPsim_13	3x_cutoff	cutoff	YES	t1_YES
X3x.cutoff.noPsim.14.t1	3x_cutoff_noPsim_14_t1	<24hrs	t1	16	F7	3x_cutoff_noPsim_14	3x_cutoff	cutoff	YES	t1_YES
X3x.cutoff.noPsim.15.t1	3x_cutoff_noPsim_15_t1	<24hrs	t1	16	G7	3x_cutoff_noPsim_15	3x_cutoff	cutoff	YES	t1_YES
X3x.cutoff.noPsim.16.t1	3x_cutoff_noPsim_16_t1	<24hrs	t1	16	H7	3x_cutoff_noPsim_16	3x_cutoff	cutoff	YES	t1_YES
X2x.cutoff.noPsim.9.t1	2x_cutoff_noPsim_9_t1	<24hrs	t1	16	A8	2x_cutoff_noPsim_9	2x_cutoff	cutoff	YES	t1_YES
X2x.cutoff.noPsim.10.t1	2x_cutoff_noPsim_10_t1	<24hrs	t1	16	B8	2x_cutoff_noPsim_10	2x_cutoff	cutoff	YES	t1_YES
X2x.cutoff.noPsim.11.t1	2x_cutoff_noPsim_11_t1	<24hrs	t1	16	C8	2x_cutoff_noPsim_11	2x_cutoff	cutoff	YES	t1_YES
X2x.cutoff.noPsim.12.t1	2x_cutoff_noPsim_12_t1	<24hrs	t1	16	D8	2x_cutoff_noPsim_12	2x_cutoff	cutoff	YES	t1_YES
X2x.cutoff.noPsim.13.t1	2x_cutoff_noPsim_13_t1	<24hrs	t1	16	E8	2x_cutoff_noPsim_13	2x_cutoff	cutoff	YES	t1_YES
X2x.cutoff.noPsim.15.t1	2x_cutoff_noPsim_15_t1	<24hrs	t1	16	G8	2x_cutoff_noPsim_15	2x_cutoff	cutoff	YES	t1_YES
X2x.cutoff.noPsim.16.t1	2x_cutoff_noPsim_16_t1	<24hrs	t1	16	H8	2x_cutoff_noPsim_16	2x_cutoff	cutoff	YES	t1_YES
rel.abu.noPsim.exp.noPsim.10.t1	rel_abu_noPsim_exp_noPsim_10_t1	<24hrs	t1	16	B9	rel_abu_noPsim_exp_noPsim_10	rel_abu_exp	rel_abu	YES	t1_YES
rel.abu.noPsim.exp.noPsim.11.t1	rel_abu_noPsim_exp_noPsim_11_t1	<24hrs	t1	16	C9	rel_abu_noPsim_exp_noPsim_11	rel_abu_exp	rel_abu	YES	t1_YES
rel.abu.noPsim.exp.noPsim.12.t1	rel_abu_noPsim_exp_noPsim_12_t1	<24hrs	t1	16	D9	rel_abu_noPsim_exp_noPsim_12	rel_abu_exp	rel_abu	YES	t1_YES
rel.abu.noPsim.exp.noPsim.13.t1	rel_abu_noPsim_exp_noPsim_13_t1	<24hrs	t1	16	E9	rel_abu_noPsim_exp_noPsim_13	rel_abu_exp	rel_abu	YES	t1_YES
rel.abu.noPsim.exp.noPsim.14.t1	rel_abu_noPsim_exp_noPsim_14_t1	<24hrs	t1	16	F9	rel_abu_noPsim_exp_noPsim_14	rel_abu_exp	rel_abu	YES	t1_YES
rel.abu.noPsim.exp.noPsim.15.t1	rel_abu_noPsim_exp_noPsim_15_t1	<24hrs	t1	16	G9	rel_abu_noPsim_exp_noPsim_15	rel_abu_exp	rel_abu	YES	t1_YES
rel.abu.noPsim.exp.noPsim.16.t1	rel_abu_noPsim_exp_noPsim_16_t1	<24hrs	t1	16	H9	rel_abu_noPsim_exp_noPsim_16	rel_abu_exp	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.9.t1	rel_abu_noPsim_linear_9_t1	<24hrs	t1	16	A10	rel_abu_noPsim_linear_9	rel_abu_linear	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.10.t1	rel_abu_noPsim_linear_10_t1	<24hrs	t1	16	B10	rel_abu_noPsim_linear_10	rel_abu_linear	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.11.t1	rel_abu_noPsim_linear_11_t1	<24hrs	t1	16	C10	rel_abu_noPsim_linear_11	rel_abu_linear	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.12.t1	rel_abu_noPsim_linear_12_t1	<24hrs	t1	16	D10	rel_abu_noPsim_linear_12	rel_abu_linear	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.13.t1	rel_abu_noPsim_linear_13_t1	<24hrs	t1	16	E10	rel_abu_noPsim_linear_13	rel_abu_linear	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.14.t1	rel_abu_noPsim_linear_14_t1	<24hrs	t1	16	F10	rel_abu_noPsim_linear_14	rel_abu_linear	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.15.t1	rel_abu_noPsim_linear_15_t1	<24hrs	t1	16	G10	rel_abu_noPsim_linear_15	rel_abu_linear	rel_abu	YES	t1_YES
rel.abu.noPsim.linear.16.t1	rel_abu_noPsim_linear_16_t1	<24hrs	t1	16	H10	rel_abu_noPsim_linear_16	rel_abu_linear	rel_abu	YES	t1_YES
X2000.everyone.noPsim.9.t1	2000_everyone_noPsim_9_t1	<24hrs	t1	16	A11	2000_everyone_noPsim_9	equal	equal	YES	t1_YES
X2000.everyone.noPsim.10.t1	2000_everyone_noPsim_10_t1	<24hrs	t1	16	B11	2000_everyone_noPsim_10	equal	equal	YES	t1_YES
X2000.everyone.noPsim.11.t1	2000_everyone_noPsim_11_t1	<24hrs	t1	16	C11	2000_everyone_noPsim_11	equal	equal	YES	t1_YES
X2000.everyone.noPsim.12.t1	2000_everyone_noPsim_12_t1	<24hrs	t1	16	D11	2000_everyone_noPsim_12	equal	equal	YES	t1_YES
X2000.everyone.noPsim.13.t1	2000_everyone_noPsim_13_t1	<24hrs	t1	16	E11	2000_everyone_noPsim_13	equal	equal	YES	t1_YES
X2000.everyone.noPsim.16.t1	2000_everyone_noPsim_16_t1	<24hrs	t1	16	H11	2000_everyone_noPsim_16	equal	equal	YES	t1_YES
X3x.cutoff.noPsim.1.t2	3x_cutoff_noPsim_1_t2	timepoint3	t2	72	A2	3x_cutoff_noPsim_1	3x_cutoff	cutoff	NO	t2_NO
X3x.cutoff.noPsim.2.t2	3x_cutoff_noPsim_2_t2	timepoint3	t2	72	B2	3x_cutoff_noPsim_2	3x_cutoff	cutoff	NO	t2_NO
X3x.cutoff.noPsim.3.t2	3x_cutoff_noPsim_3_t2	timepoint3	t2	72	C2	3x_cutoff_noPsim_3	3x_cutoff	cutoff	NO	t2_NO
X3x.cutoff.noPsim.4.t2	3x_cutoff_noPsim_4_t2	timepoint3	t2	72	D2	3x_cutoff_noPsim_4	3x_cutoff	cutoff	NO	t2_NO
X3x.cutoff.noPsim.5.t2	3x_cutoff_noPsim_5_t2	timepoint3	t2	72	E2	3x_cutoff_noPsim_5	3x_cutoff	cutoff	NO	t2_NO
X3x.cutoff.noPsim.6.t2	3x_cutoff_noPsim_6_t2	timepoint3	t2	72	F2	3x_cutoff_noPsim_6	3x_cutoff	cutoff	NO	t2_NO
X3x.cutoff.noPsim.7.t2	3x_cutoff_noPsim_7_t2	timepoint3	t2	72	G2	3x_cutoff_noPsim_7	3x_cutoff	cutoff	NO	t2_NO
X3x.cutoff.noPsim.8.t2	3x_cutoff_noPsim_8_t2	timepoint3	t2	72	H2	3x_cutoff_noPsim_8	3x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.1.t2	2x_cutoff_noPsim_1_t2	timepoint3	t2	72	A3	2x_cutoff_noPsim_1	2x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.2.t2	2x_cutoff_noPsim_2_t2	timepoint3	t2	72	B3	2x_cutoff_noPsim_2	2x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.3.t2	2x_cutoff_noPsim_3_t2	timepoint3	t2	72	C3	2x_cutoff_noPsim_3	2x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.4.t2	2x_cutoff_noPsim_4_t2	timepoint3	t2	72	D3	2x_cutoff_noPsim_4	2x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.5.t2	2x_cutoff_noPsim_5_t2	timepoint3	t2	72	E3	2x_cutoff_noPsim_5	2x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.6.t2	2x_cutoff_noPsim_6_t2	timepoint3	t2	72	F3	2x_cutoff_noPsim_6	2x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.7.t2	2x_cutoff_noPsim_7_t2	timepoint3	t2	72	G3	2x_cutoff_noPsim_7	2x_cutoff	cutoff	NO	t2_NO
X2x.cutoff.noPsim.8.t2	2x_cutoff_noPsim_8_t2	timepoint3	t2	72	H3	2x_cutoff_noPsim_8	2x_cutoff	cutoff	NO	t2_NO
rel.abu.noPsim.exp.noPsim.1.t2	rel_abu_noPsim_exp_noPsim_1_t2	timepoint3	t2	72	A4	rel_abu_noPsim_exp_noPsim_1	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.exp.noPsim.2.t2	rel_abu_noPsim_exp_noPsim_2_t2	timepoint3	t2	72	B4	rel_abu_noPsim_exp_noPsim_2	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.exp.noPsim.3.t2	rel_abu_noPsim_exp_noPsim_3_t2	timepoint3	t2	72	C4	rel_abu_noPsim_exp_noPsim_3	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.exp.noPsim.4.t2	rel_abu_noPsim_exp_noPsim_4_t2	timepoint3	t2	72	D4	rel_abu_noPsim_exp_noPsim_4	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.exp.noPsim.5.t2	rel_abu_noPsim_exp_noPsim_5_t2	timepoint3	t2	72	E4	rel_abu_noPsim_exp_noPsim_5	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.exp.noPsim.6.t2	rel_abu_noPsim_exp_noPsim_6_t2	timepoint3	t2	72	F4	rel_abu_noPsim_exp_noPsim_6	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.exp.noPsim.7.t2	rel_abu_noPsim_exp_noPsim_7_t2	timepoint3	t2	72	G4	rel_abu_noPsim_exp_noPsim_7	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.exp.noPsim.8.t2	rel_abu_noPsim_exp_noPsim_8_t2	timepoint3	t2	72	H4	rel_abu_noPsim_exp_noPsim_8	rel_abu_exp	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.1.t2	rel_abu_noPsim_linear_1_t2	timepoint3	t2	72	A5	rel_abu_noPsim_linear_1	rel_abu_linear	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.2.t2	rel_abu_noPsim_linear_2_t2	timepoint3	t2	72	B5	rel_abu_noPsim_linear_2	rel_abu_linear	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.3.t2	rel_abu_noPsim_linear_3_t2	timepoint3	t2	72	C5	rel_abu_noPsim_linear_3	rel_abu_linear	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.4.t2	rel_abu_noPsim_linear_4_t2	timepoint3	t2	72	D5	rel_abu_noPsim_linear_4	rel_abu_linear	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.5.t2	rel_abu_noPsim_linear_5_t2	timepoint3	t2	72	E5	rel_abu_noPsim_linear_5	rel_abu_linear	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.6.t2	rel_abu_noPsim_linear_6_t2	timepoint3	t2	72	F5	rel_abu_noPsim_linear_6	rel_abu_linear	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.7.t2	rel_abu_noPsim_linear_7_t2	timepoint3	t2	72	G5	rel_abu_noPsim_linear_7	rel_abu_linear	rel_abu	NO	t2_NO
rel.abu.noPsim.linear.8.t2	rel_abu_noPsim_linear_8_t2	timepoint3	t2	72	H5	rel_abu_noPsim_linear_8	rel_abu_linear	rel_abu	NO	t2_NO
X2000.everyone.noPsim.1.t2	2000_everyone_noPsim_1_t2	timepoint3	t2	72	A6	2000_everyone_noPsim_1	equal	equal	NO	t2_NO
X2000.everyone.noPsim.2.t2	2000_everyone_noPsim_2_t2	timepoint3	t2	72	B6	2000_everyone_noPsim_2	equal	equal	NO	t2_NO
X2000.everyone.noPsim.3.t2	2000_everyone_noPsim_3_t2	timepoint3	t2	72	C6	2000_everyone_noPsim_3	equal	equal	NO	t2_NO
X2000.everyone.noPsim.4.t2	2000_everyone_noPsim_4_t2	timepoint3	t2	72	D6	2000_everyone_noPsim_4	equal	equal	NO	t2_NO
X2000.everyone.noPsim.5.t2	2000_everyone_noPsim_5_t2	timepoint3	t2	72	E6	2000_everyone_noPsim_5	equal	equal	NO	t2_NO
X2000.everyone.noPsim.6.t2	2000_everyone_noPsim_6_t2	timepoint3	t2	72	F6	2000_everyone_noPsim_6	equal	equal	NO	t2_NO
X2000.everyone.noPsim.7.t2	2000_everyone_noPsim_7_t2	timepoint3	t2	72	G6	2000_everyone_noPsim_7	equal	equal	NO	t2_NO
X2000.everyone.noPsim.8.t2	2000_everyone_noPsim_8_t2	timepoint3	t2	72	H6	2000_everyone_noPsim_8	equal	equal	NO	t2_NO
X3x.cutoff.noPsim.9.t2	3x_cutoff_noPsim_9_t2	timepoint3	t2	72	A7	3x_cutoff_noPsim_9	3x_cutoff	cutoff	YES	t2_YES
X3x.cutoff.noPsim.10.t2	3x_cutoff_noPsim_10_t2	timepoint3	t2	72	B7	3x_cutoff_noPsim_10	3x_cutoff	cutoff	YES	t2_YES
X3x.cutoff.noPsim.11.t2	3x_cutoff_noPsim_11_t2	timepoint3	t2	72	C7	3x_cutoff_noPsim_11	3x_cutoff	cutoff	YES	t2_YES
X3x.cutoff.noPsim.12.t2	3x_cutoff_noPsim_12_t2	timepoint3	t2	72	D7	3x_cutoff_noPsim_12	3x_cutoff	cutoff	YES	t2_YES
X3x.cutoff.noPsim.13.t2	3x_cutoff_noPsim_13_t2	timepoint3	t2	72	E7	3x_cutoff_noPsim_13	3x_cutoff	cutoff	YES	t2_YES
X3x.cutoff.noPsim.14.t2	3x_cutoff_noPsim_14_t2	timepoint3	t2	72	F7	3x_cutoff_noPsim_14	3x_cutoff	cutoff	YES	t2_YES
X3x.cutoff.noPsim.15.t2	3x_cutoff_noPsim_15_t2	timepoint3	t2	72	G7	3x_cutoff_noPsim_15	3x_cutoff	cutoff	YES	t2_YES
X3x.cutoff.noPsim.16.t2	3x_cutoff_noPsim_16_t2	timepoint3	t2	72	H7	3x_cutoff_noPsim_16	3x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.9.t2	2x_cutoff_noPsim_9_t2	timepoint3	t2	72	A8	2x_cutoff_noPsim_9	2x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.10.t2	2x_cutoff_noPsim_10_t2	timepoint3	t2	72	B8	2x_cutoff_noPsim_10	2x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.11.t2	2x_cutoff_noPsim_11_t2	timepoint3	t2	72	C8	2x_cutoff_noPsim_11	2x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.12.t2	2x_cutoff_noPsim_12_t2	timepoint3	t2	72	D8	2x_cutoff_noPsim_12	2x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.13.t2	2x_cutoff_noPsim_13_t2	timepoint3	t2	72	E8	2x_cutoff_noPsim_13	2x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.14.t2	2x_cutoff_noPsim_14_t2	timepoint3	t2	72	F8	2x_cutoff_noPsim_14	2x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.15.t2	2x_cutoff_noPsim_15_t2	timepoint3	t2	72	G8	2x_cutoff_noPsim_15	2x_cutoff	cutoff	YES	t2_YES
X2x.cutoff.noPsim.16.t2	2x_cutoff_noPsim_16_t2	timepoint3	t2	72	H8	2x_cutoff_noPsim_16	2x_cutoff	cutoff	YES	t2_YES
rel.abu.noPsim.exp.noPsim.9.t2	rel_abu_noPsim_exp_noPsim_9_t2	timepoint3	t2	72	A9	rel_abu_noPsim_exp_noPsim_9	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.exp.noPsim.10.t2	rel_abu_noPsim_exp_noPsim_10_t2	timepoint3	t2	72	B9	rel_abu_noPsim_exp_noPsim_10	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.exp.noPsim.11.t2	rel_abu_noPsim_exp_noPsim_11_t2	timepoint3	t2	72	C9	rel_abu_noPsim_exp_noPsim_11	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.exp.noPsim.12.t2	rel_abu_noPsim_exp_noPsim_12_t2	timepoint3	t2	72	D9	rel_abu_noPsim_exp_noPsim_12	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.exp.noPsim.13.t2	rel_abu_noPsim_exp_noPsim_13_t2	timepoint3	t2	72	E9	rel_abu_noPsim_exp_noPsim_13	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.exp.noPsim.14.t2	rel_abu_noPsim_exp_noPsim_14_t2	timepoint3	t2	72	F9	rel_abu_noPsim_exp_noPsim_14	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.exp.noPsim.15.t2	rel_abu_noPsim_exp_noPsim_15_t2	timepoint3	t2	72	G9	rel_abu_noPsim_exp_noPsim_15	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.exp.noPsim.16.t2	rel_abu_noPsim_exp_noPsim_16_t2	timepoint3	t2	72	H9	rel_abu_noPsim_exp_noPsim_16	rel_abu_exp	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.9.t2	rel_abu_noPsim_linear_9_t2	timepoint3	t2	72	A10	rel_abu_noPsim_linear_9	rel_abu_linear	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.10.t2	rel_abu_noPsim_linear_10_t2	timepoint3	t2	72	B10	rel_abu_noPsim_linear_10	rel_abu_linear	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.11.t2	rel_abu_noPsim_linear_11_t2	timepoint3	t2	72	C10	rel_abu_noPsim_linear_11	rel_abu_linear	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.12.t2	rel_abu_noPsim_linear_12_t2	timepoint3	t2	72	D10	rel_abu_noPsim_linear_12	rel_abu_linear	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.13.t2	rel_abu_noPsim_linear_13_t2	timepoint3	t2	72	E10	rel_abu_noPsim_linear_13	rel_abu_linear	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.14.t2	rel_abu_noPsim_linear_14_t2	timepoint3	t2	72	F10	rel_abu_noPsim_linear_14	rel_abu_linear	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.15.t2	rel_abu_noPsim_linear_15_t2	timepoint3	t2	72	G10	rel_abu_noPsim_linear_15	rel_abu_linear	rel_abu	YES	t2_YES
rel.abu.noPsim.linear.16.t2	rel_abu_noPsim_linear_16_t2	timepoint3	t2	72	H10	rel_abu_noPsim_linear_16	rel_abu_linear	rel_abu	YES	t2_YES
X2000.everyone.noPsim.9.t2	2000_everyone_noPsim_9_t2	timepoint3	t2	72	A11	2000_everyone_noPsim_9	equal	equal	YES	t2_YES
X2000.everyone.noPsim.10.t2	2000_everyone_noPsim_10_t2	timepoint3	t2	72	B11	2000_everyone_noPsim_10	equal	equal	YES	t2_YES
X2000.everyone.noPsim.11.t2	2000_everyone_noPsim_11_t2	timepoint3	t2	72	C11	2000_everyone_noPsim_11	equal	equal	YES	t2_YES
X2000.everyone.noPsim.12.t2	2000_everyone_noPsim_12_t2	timepoint3	t2	72	D11	2000_everyone_noPsim_12	equal	equal	YES	t2_YES
